,dt,AverageTemperature,AverageTemperatureUncertainty,Country,year,month
110154,1821-01-01,-7.4689999999999985,1.909,China,1821,01
110155,1821-02-01,-4.029,2.17,China,1821,02
110156,1821-03-01,1.381,1.366,China,1821,03
110157,1821-04-01,7.45,1.66,China,1821,04
110158,1821-05-01,13.463,1.4580000000000002,China,1821,05
110159,1821-06-01,16.799,1.745,China,1821,06
110160,1821-07-01,18.608,1.76,China,1821,07
110161,1821-08-01,18.011,1.446,China,1821,08
110162,1821-09-01,12.107,1.514,China,1821,09
110163,1821-10-01,6.414,1.351,China,1821,10
110164,1821-11-01,-0.304,2.165,China,1821,11
110165,1821-12-01,-7.021,1.625,China,1821,12
110166,1822-01-01,-8.174,1.876,China,1822,01
110167,1822-02-01,-3.866000000000001,1.855,China,1822,02
110168,1822-03-01,3.924,1.67,China,1822,03
110169,1822-04-01,7.91,1.5590000000000002,China,1822,04
110170,1822-05-01,12.932,1.443,China,1822,05
110171,1822-06-01,17.335,1.386,China,1822,06
110172,1822-07-01,19.751,1.446,China,1822,07
110173,1822-08-01,17.994,1.865,China,1822,08
110174,1822-09-01,12.82,1.606,China,1822,09
110175,1822-10-01,5.925,1.376,China,1822,10
110176,1822-11-01,-1.745,1.57,China,1822,11
110177,1822-12-01,-8.709,2.03,China,1822,12
110178,1823-01-01,-9.109,1.4780000000000002,China,1823,01
110179,1823-02-01,-6.11,1.991,China,1823,02
110180,1823-03-01,0.8360000000000001,1.541,China,1823,03
110181,1823-04-01,7.403,1.936,China,1823,04
110182,1823-05-01,12.767,1.501,China,1823,05
110183,1823-06-01,18.12,1.872,China,1823,06
110184,1823-07-01,19.602,1.391,China,1823,07
110185,1823-08-01,17.686,1.467,China,1823,08
110186,1823-09-01,12.135000000000002,1.391,China,1823,09
110187,1823-10-01,5.528,1.5759999999999998,China,1823,10
110188,1823-11-01,-1.59,1.911,China,1823,11
110189,1823-12-01,-8.709,,China,1823,12
110190,1824-01-01,,,China,1824,01
110191,1824-02-01,,,China,1824,02
110192,1824-03-01,,,China,1824,03
110193,1824-04-01,,,China,1824,04
110194,1824-05-01,,,China,1824,05
110195,1824-06-01,,,China,1824,06
110196,1824-07-01,,,China,1824,07
110197,1824-08-01,,,China,1824,08
110198,1824-09-01,,,China,1824,09
110199,1824-10-01,,,China,1824,10
110200,1824-11-01,,,China,1824,11
110201,1824-12-01,,,China,1824,12
110202,1825-01-01,,,China,1825,01
110203,1825-02-01,,,China,1825,02
110204,1825-03-01,,,China,1825,03
110205,1825-04-01,,,China,1825,04
110206,1825-05-01,,,China,1825,05
110207,1825-06-01,,,China,1825,06
110208,1825-07-01,,,China,1825,07
110209,1825-08-01,,,China,1825,08
110210,1825-09-01,,,China,1825,09
110211,1825-10-01,,,China,1825,10
110212,1825-11-01,,,China,1825,11
110213,1825-12-01,,,China,1825,12
110214,1826-01-01,,,China,1826,01
110215,1826-02-01,,,China,1826,02
110216,1826-03-01,,,China,1826,03
110217,1826-04-01,,,China,1826,04
110218,1826-05-01,,,China,1826,05
110219,1826-06-01,,,China,1826,06
110220,1826-07-01,,,China,1826,07
110221,1826-08-01,,,China,1826,08
110222,1826-09-01,,,China,1826,09
110223,1826-10-01,,,China,1826,10
110224,1826-11-01,,,China,1826,11
110225,1826-12-01,,,China,1826,12
110226,1827-01-01,,,China,1827,01
110227,1827-02-01,,,China,1827,02
110228,1827-03-01,,,China,1827,03
110229,1827-04-01,,,China,1827,04
110230,1827-05-01,,,China,1827,05
110231,1827-06-01,,,China,1827,06
110232,1827-07-01,,,China,1827,07
110233,1827-08-01,,,China,1827,08
110234,1827-09-01,,,China,1827,09
110235,1827-10-01,,,China,1827,10
110236,1827-11-01,,,China,1827,11
110237,1827-12-01,,,China,1827,12
110238,1828-01-01,,,China,1828,01
110239,1828-02-01,,,China,1828,02
110240,1828-03-01,,,China,1828,03
110241,1828-04-01,,,China,1828,04
110242,1828-05-01,,,China,1828,05
110243,1828-06-01,,,China,1828,06
110244,1828-07-01,,,China,1828,07
110245,1828-08-01,,,China,1828,08
110246,1828-09-01,,,China,1828,09
110247,1828-10-01,,,China,1828,10
110248,1828-11-01,,,China,1828,11
110249,1828-12-01,,,China,1828,12
110250,1829-01-01,,,China,1829,01
110251,1829-02-01,,,China,1829,02
110252,1829-03-01,,,China,1829,03
110253,1829-04-01,,,China,1829,04
110254,1829-05-01,,,China,1829,05
110255,1829-06-01,,,China,1829,06
110256,1829-07-01,,,China,1829,07
110257,1829-08-01,,,China,1829,08
110258,1829-09-01,,,China,1829,09
110259,1829-10-01,,,China,1829,10
110260,1829-11-01,,,China,1829,11
110261,1829-12-01,,,China,1829,12
110262,1830-01-01,,,China,1830,01
110263,1830-02-01,,,China,1830,02
110264,1830-03-01,,,China,1830,03
110265,1830-04-01,,,China,1830,04
110266,1830-05-01,,,China,1830,05
110267,1830-06-01,,,China,1830,06
110268,1830-07-01,,,China,1830,07
110269,1830-08-01,,,China,1830,08
